#	X(mm)	XP(mrad)	Y(mm)	YP(mrad)	Z(mm)	W(MeV)
0.174	-0.429	0.306	0.646	216.94	71.442
-0.092	0.475	-0.125	0.054	169.51	71.507
-0.027	0.319	0.343	0.392	81.39	71.627
-0.11	0.135	0.416	0.61	81.33	71.627
-0.008	0.213	0.203	0.067	79.03	71.63
-0.038	-0.534	-0.308	-0.161	166.2	71.512
0.017	0.437	-0.669	-0.885	103.63	71.596
-0.204	0.958	-0.153	-0.375	-8.2	71.749
0.125	-0.511	0.031	-0.227	170.5	71.506
-0.068	-0.337	0.194	0.111	77.59	71.632
-0.06	0.77	-0.135	-0.158	-5.18	71.745
-0.073	0.708	0.399	0.454	64.6	71.65
-0.109	1.07	0.56	0.517	14.66	71.718
-0.011	-0.477	0.256	0.046	2.76	71.734
0.145	0.137	-0.147	-0.396	125.1	71.567
0.35	-1.321	0.436	0.472	-56.62	71.815
0.065	-0.58	0.473	0.701	25.51	71.703
-0.044	0.944	-0.51	-0.489	102.9	71.598
-0.082	-0.169	0.219	0.119	113.43	71.583
0.09	-0.036	0.355	0.502	77.31	71.632
0.052	-0.462	0.564	0.832	40.07	71.683
0.145	-1.223	0.609	0.657	-11.66	71.754
-0.081	0.741	0.002	-0.177	-15.08	71.758
0.115	0.115	-0.281	-0.582	23.37	71.706
-0.143	0.703	0.198	0.253	67.92	71.645
-0.221	1.114	-0.083	0.099	-41.82	71.795
-0.1	0.354	0.321	0.072	-28.42	71.776
-0.068	0.564	0.267	0.109	44.0	71.678
0.124	-1.131	-0.324	-0.268	-23.65	71.77
-0.182	0.884	-0.225	-0.325	24.69	71.704
0.023	-0.29	0.302	0.613	-63.4	71.823
0.256	-1.308	0.289	0.336	-84.8	71.853
-0.103	0.804	-0.064	0.164	-37.65	71.789
0.247	-1.331	-0.119	-0.22	-91.92	71.863
0.114	-0.405	0.15	0.118	114.57	71.582
0.161	-0.176	-0.497	-0.73	111.2	71.586
0.13	0.216	-0.097	-0.361	103.42	71.597
0.075	0.178	-0.669	-0.894	66.85	71.646
-0.087	0.857	0.429	0.469	161.27	71.519
0.122	-0.27	0.311	0.474	95.78	71.607
0.017	0.889	0.158	0.104	10.37	71.724
0.094	-0.376	-0.029	-0.165	65.05	71.649
0.114	-0.949	-0.243	-0.449	-36.58	71.788
-0.012	0.165	0.102	0.002	59.11	71.657
0.178	-0.665	0.321	0.412	170.08	71.506
-0.023	0.15	0.166	0.22	53.21	71.665
0.153	-0.622	-0.181	-0.472	140.81	71.546
0.025	0.239	-0.251	-0.798	257.7	71.388
-0.03	0.035	0.496	0.621	122.56	71.571
0.147	-0.726	0.228	0.013	1.14	71.736
0.133	-0.276	0.012	0.315	93.42	71.611
0.237	-1.145	-0.575	-0.806	-33.91	71.784
-0.099	1.024	-0.505	-0.509	34.26	71.692
0.181	-0.708	-0.142	-0.186	212.12	71.449
0.07	-0.075	-0.129	-0.088	82.51	71.625
0.203	-0.015	0.099	0.24	218.5	71.44
0.041	0.068	0.62	0.87	47.45	71.673
-0.174	0.695	0.38	0.583	130.49	71.56
0.068	-0.468	-0.001	0.183	21.01	71.709
-0.151	0.921	0.08	0.076	-6.84	71.747
0.276	-1.284	0.275	0.159	-43.15	71.797
0.144	-0.576	-0.109	0.005	187.97	71.482
-0.168	0.789	-0.376	-0.517	76.66	71.633
0.011	-0.339	0.125	0.543	246.83	71.402
0.025	0.815	0.04	0.181	16.17	71.716
-0.033	0.442	0.419	0.569	56.4	71.661
0.022	0.349	-0.113	-0.254	29.69	71.697
0.115	0.005	0.167	0.361	85.31	71.621
0.036	0.525	-0.443	-0.333	85.22	71.622
0.081	-0.242	0.102	-0.139	169.08	71.508
-0.074	0.299	0.544	0.718	121.58	71.572
-0.126	-0.589	0.218	0.263	83.42	71.624
0.116	-1.037	0.642	0.862	-19.92	71.765
-0.152	-0.022	-0.044	0.216	213.89	71.447
-0.048	0.17	0.261	0.804	254.36	71.393
-0.098	0.849	-0.157	-0.219	-7.88	71.748
0.051	-0.3	-0.136	0.055	39.87	71.683
-0.127	0.019	0.255	0.406	107.0	71.592
0.154	-0.763	-0.077	0.146	120.73	71.574
-0.008	-0.351	-0.197	-0.154	66.26	71.647
0.374	-1.278	-0.215	-0.227	-61.41	71.822
0.02	0.665	-0.572	-0.78	38.37	71.685
-0.093	0.771	0.202	0.086	35.52	71.69
-0.029	0.93	0.479	0.574	-10.54	71.752
-0.038	0.594	0.073	0.431	222.5	71.436
-0.13	0.12	-0.134	-0.017	169.04	71.508
0.104	-0.644	-0.006	-0.089	43.46	71.678
0.083	-0.328	0.114	0.388	-14.28	71.757
-0.13	0.803	-0.055	0.142	-2.08	71.741
0.13	-0.394	0.18	0.484	19.97	71.71
-0.002	-0.284	-0.598	-0.856	49.22	71.67
-0.01	-0.481	0.303	0.232	143.24	71.543
-0.114	0.367	0.368	0.468	133.16	71.556
-0.025	0.786	0.502	0.555	93.15	71.611
-0.102	0.866	-0.178	-0.035	0.57	71.737
0.267	-1.207	0.129	0.301	-54.0	71.812
0.19	-0.181	0.086	0.207	222.08	71.435
0.059	0.451	-0.441	-0.453	158.56	71.522
-0.037	0.113	-0.209	-0.532	-76.08	71.841
0.188	-1.211	-0.596	-0.712	-51.87	71.808
-0.098	0.807	-0.21	-0.451	-25.19	71.772
-0.323	1.375	0.085	0.124	-97.86	71.871
0.074	-0.442	0.285	0.434	49.99	71.669
-0.19	0.08	0.344	0.615	188.5	71.481
-0.066	0.001	-0.24	-0.325	75.59	71.634
-0.055	0.732	-0.673	-0.972	71.02	71.641
0.08	0.268	-0.142	0.102	51.14	71.668
-0.161	0.683	-0.343	-0.517	123.28	71.57
-0.011	0.077	0.076	0.258	31.05	71.695
-0.134	-0.081	-0.303	-0.595	67.06	71.646
0.109	-0.78	0.188	0.053	50.39	71.669
0.066	-0.441	-0.106	0.108	13.04	71.72
-0.153	-0.275	0.211	0.479	127.84	71.564
0.128	-0.149	0.009	0.303	157.42	71.524
-0.187	0.71	0.064	0.205	197.14	71.469
-0.178	1.114	0.584	0.698	19.38	71.712
0.067	-0.064	-0.122	0.177	-47.42	71.802
-0.002	-0.33	-0.395	-0.488	87.29	71.619
-0.169	0.094	-0.18	-0.288	183.21	71.488
-0.146	0.654	0.39	0.52	138.28	71.55
-0.17	0.815	-0.243	-0.505	81.96	71.626
-0.164	0.789	-0.427	-0.727	38.72	71.685
-0.085	-0.087	0.399	0.525	99.15	71.602
-0.016	0.665	0.517	0.799	3.82	71.732
0.041	-0.745	0.125	0.331	-12.4	71.755
-0.117	0.415	-0.017	-0.267	62.8	71.652
-0.018	-0.055	-0.124	-0.116	68.09	71.645
-0.085	0.193	-0.055	-0.334	-3.08	71.742
0.071	-0.491	0.223	0.018	18.25	71.713
-0.091	0.945	0.375	0.287	89.03	71.617
0.188	-1.263	0.104	-0.037	-49.8	71.806
0.143	-0.446	0.274	0.576	101.94	71.599
0.002	-0.431	-0.083	0.028	46.88	71.674
-0.074	0.688	0.209	0.098	70.1	71.643
0.162	-0.866	-0.269	-0.436	24.22	71.705
0.01	-0.49	0.141	0.285	24.05	71.705
-0.006	-0.846	-0.068	0.063	16.21	71.716
-0.102	0.705	0.224	0.275	48.81	71.671
-0.161	0.23	-0.336	-0.719	168.48	71.509
0.014	0.126	0.352	0.155	34.7	71.691
0.177	-0.938	0.132	-0.075	14.26	71.719
-0.043	0.108	0.091	-0.067	77.0	71.633
-0.211	0.221	-0.129	-0.246	246.13	71.402
-0.083	0.559	-0.339	-0.477	60.51	71.655
-0.014	-0.293	0.076	-0.108	39.26	71.684
0.036	0.482	0.485	0.377	113.89	71.584
-0.084	0.148	0.031	-0.019	90.81	71.614
-0.014	-0.051	0.081	-0.222	-58.65	71.817
-0.037	1.007	0.174	0.27	-24.61	71.771
0.06	0.293	-0.217	-0.52	-19.06	71.763
-0.056	0.581	-0.183	0.044	-11.16	71.753
0.024	0.497	0.162	0.255	37.02	71.687
0.041	0.475	-0.509	-0.71	57.57	71.659
0.156	-0.492	0.026	0.042	202.35	71.462
0.092	-1.115	0.453	0.455	-2.18	71.741
0.299	-1.295	0.206	0.106	-45.18	71.8
0.12	-0.713	-0.048	0.207	-22.02	71.768
-0.09	-0.641	0.275	0.279	71.24	71.641
0.038	-0.584	-0.109	-0.007	42.54	71.68
0.289	-1.269	0.226	0.307	-65.26	71.827
0.075	0.002	0.157	0.598	240.6	71.411
0.181	-1.239	0.05	0.073	-94.96	71.867
0.098	-0.766	0.19	0.416	-9.09	71.75
-0.025	0.217	0.044	-0.164	30.18	71.697
-0.005	-0.738	-0.55	-0.64	96.1	71.607
-0.164	0.766	0.067	-0.206	-3.98	71.743
-0.122	0.266	0.007	0.293	133.91	71.556
-0.04	0.531	-0.357	-0.471	59.86	71.656
0.318	-1.341	-0.181	-0.331	-79.11	71.846
-0.041	-0.346	-0.087	-0.198	50.37	71.669
-0.149	0.627	0.009	0.038	168.32	71.509
0.141	-0.748	-0.041	0.185	58.98	71.658
0.097	-0.423	-0.392	-0.69	20.15	71.71
-0.136	0.989	0.125	-0.065	-21.44	71.767
-0.061	-0.782	-0.257	-0.216	50.26	71.669
0.043	-0.667	0.376	0.404	98.27	71.604
0.096	-0.153	0.022	-0.112	109.56	71.588
0.156	-0.828	0.4	0.651	35.45	71.689
-0.223	1.313	-0.292	-0.192	-37.75	71.79
0.173	-0.147	0.285	0.732	225.43	71.431
-0.004	-0.627	-0.256	-0.315	36.28	71.688
0.002	-0.629	0.384	0.383	173.05	71.503
-0.122	0.892	0.163	0.047	27.3	71.701
-0.061	0.241	-0.086	-0.047	84.64	71.622
0.164	-0.933	-0.296	-0.517	0.22	71.738
-0.175	1.127	-0.185	-0.397	-44.26	71.798
-0.012	0.459	0.3	0.876	247.86	71.401
-0.038	0.051	0.121	-0.081	59.05	71.657
-0.056	0.358	0.571	0.652	158.9	71.522
0.077	-0.528	0.392	0.49	115.93	71.58
0.163	-0.726	0.264	0.316	166.73	71.511
-0.047	-0.765	-0.368	-0.389	46.85	71.674
0.114	-0.638	-0.085	-0.15	73.84	71.637
-0.138	0.522	-0.144	-0.492	185.38	71.486
-0.049	-0.629	0.24	0.748	252.35	71.395
-0.021	0.461	0.469	0.338	131.65	71.56
0.126	-0.976	0.342	0.364	16.64	71.715
-0.085	0.973	-0.329	-0.316	8.65	71.726
-0.037	0.196	0.391	0.417	176.84	71.497
-0.016	0.721	0.416	0.44	173.91	71.501
-0.126	-0.649	0.108	0.19	81.71	71.626
-0.097	-0.549	0.553	0.647	114.48	71.582
0.072	-0.065	-0.276	-0.459	65.66	71.648
0.063	0.517	0.332	0.204	112.43	71.585
0.019	-0.268	-0.208	-0.437	18.64	71.712
0.117	-0.308	-0.077	0.205	38.94	71.685
-0.222	0.398	-0.022	0.005	264.81	71.377
0.036	-0.597	-0.536	-0.816	31.44	71.695
0.084	-0.675	-0.484	-0.782	22.97	71.706
0.081	0.022	0.094	0.397	-0.34	71.738
0.119	-0.86	-0.181	-0.268	13.96	71.719
0.196	-1.107	-0.097	-0.066	-27.55	71.775
0.095	0.114	0.004	0.108	99.22	71.602
0.021	-0.613	0.04	0.273	-3.94	71.743
-0.202	1.083	-0.045	0.14	-7.04	71.748
0.135	-0.948	0.141	-0.079	-22.69	71.769
-0.062	0.314	0.176	0.073	154.33	71.528
-0.127	0.857	0.184	0.044	119.82	71.575
0.184	-0.96	-0.403	-0.655	16.26	71.716
-0.061	-0.653	0.326	0.274	85.71	71.621
-0.309	1.336	0.367	0.497	-76.71	71.842
0.067	-1.022	-0.035	-0.239	-22.44	71.769
0.078	-0.673	0.181	-0.005	32.16	71.694
-0.103	1.012	-0.219	-0.118	-0.66	71.739
-0.092	0.711	0.038	0.299	-20.91	71.766
0.024	0.001	-0.125	0.136	170.35	71.507
0.067	-0.342	0.065	-0.134	73.59	71.638
-0.156	1.22	-0.249	-0.232	-62.97	71.823
0.009	-0.545	-0.128	-0.17	41.79	71.681
-0.069	0.26	-0.475	-0.782	3.8	71.732
0.091	-0.72	0.032	-0.13	35.37	71.69
0.019	-0.624	-0.332	-0.338	87.13	71.619
0.068	0.051	0.368	0.568	67.51	71.645
0.028	-0.547	0.446	0.58	84.91	71.622
0.024	-0.477	0.333	0.318	187.08	71.483
0.045	-0.486	0.203	0.677	249.65	71.398
0.01	0.609	0.487	0.622	74.5	71.636
0.024	0.222	-0.453	-0.599	98.66	71.603
0.058	-0.782	0.462	0.548	102.58	71.598
0.107	0.505	0.455	0.555	103.92	71.596
0.062	-0.78	-0.268	-0.187	112.1	71.586
-0.028	0.609	0.235	0.142	104.51	71.596
0.02	0.374	0.019	0.301	-13.99	71.757
0.086	-0.559	-0.185	-0.247	76.92	71.633
-0.038	0.885	0.058	0.279	-12.55	71.755
0.11	0.092	0.352	0.649	40.15	71.683
0.055	-0.792	-0.147	-0.111	22.66	71.707
0.056	0.449	0.09	-0.11	57.38	71.66
0.068	-0.798	0.142	0.041	30.94	71.696
0.02	0.019	-0.409	-0.234	80.87	71.628
0.097	0.182	-0.124	0.081	141.29	71.546
0.175	0.335	0.165	0.127	169.22	71.507
-0.087	0.091	0.369	0.568	83.38	71.624
0.059	-0.157	-0.635	-0.885	-63.55	71.823
0.191	-1.0	-0.261	-0.186	71.02	71.642
0.272	-1.313	-0.368	-0.396	-52.61	71.81
-0.105	1.089	-0.168	-0.299	-33.4	71.783
0.152	-0.255	-0.175	-0.146	200.04	71.465
0.191	-0.405	0.062	0.062	252.17	71.394
-0.041	0.131	-0.155	0.07	238.03	71.414
-0.037	0.463	-0.09	0.052	72.88	71.639
-0.151	1.103	0.258	0.082	-16.24	71.76
-0.008	0.118	0.555	0.84	18.12	71.712
0.156	-0.953	0.103	-0.079	31.33	71.696
-0.027	-0.357	-0.177	-0.473	-14.99	71.758
-0.131	0.8	0.081	-0.11	169.78	71.507
-0.09	0.529	0.411	0.188	4.02	71.732
-0.12	0.077	0.008	-0.189	160.2	71.52
-0.199	-0.051	-0.293	-0.561	222.06	71.435
0.11	-0.946	0.13	0.184	-5.33	71.745
-0.139	0.236	0.052	0.186	172.58	71.503
-0.126	0.735	-0.082	0.158	118.18	71.578
0.013	-0.229	-0.332	-0.126	39.73	71.684
0.046	-0.714	0.028	-0.229	203.16	71.462
-0.147	0.651	0.13	0.384	194.98	71.472
-0.029	0.283	-0.258	-0.537	2.21	71.734
-0.033	0.969	-0.373	-0.402	4.73	71.731
0.036	-0.799	-0.021	0.024	13.22	71.72
-0.056	-0.012	-0.187	-0.47	10.37	71.723
0.104	0.184	-0.132	0.105	169.5	71.508
0.072	-0.704	-0.106	-0.468	219.59	71.44
-0.012	0.72	0.476	0.373	99.09	71.604
-0.078	-0.353	-0.009	0.216	68.67	71.644
-0.121	-0.359	-0.012	-0.134	117.6	71.578
0.084	0.704	0.163	0.167	53.92	71.664
0.105	-0.89	0.187	0.242	13.16	71.72
0.039	-0.384	-0.146	-0.284	57.67	71.659
-0.085	0.346	0.226	0.129	219.07	71.44
0.043	-0.035	-0.024	0.231	20.46	71.71
0.064	-0.278	-0.065	0.127	111.88	71.586
0.046	-0.422	-0.434	-0.643	68.16	71.645
-0.172	0.841	-0.133	-0.358	113.42	71.584
0.091	-0.959	0.115	0.342	-20.8	71.766
-0.087	0.993	-0.002	-0.151	-11.71	71.754
-0.094	-0.136	0.192	0.081	165.97	71.512
0.351	-1.347	-0.154	-0.163	-71.81	71.836
0.131	0.385	-0.045	-0.248	133.88	71.556
0.032	0.318	0.342	0.452	83.18	71.624
0.003	-0.579	-0.332	-0.465	49.53	71.67
-0.083	0.505	0.217	0.499	8.47	71.726
0.164	-0.787	0.083	0.051	149.2	71.535
-0.072	-0.517	0.638	0.841	103.26	71.597
0.003	0.686	-0.575	-0.827	43.91	71.678
-0.073	1.05	0.313	0.355	-34.38	71.784
0.171	-1.281	0.584	0.618	9.63	71.725
0.017	0.14	0.119	0.091	88.78	71.617
0.058	-0.397	0.213	0.227	105.91	71.593
0.068	0.388	-0.061	0.202	41.77	71.681
-0.055	0.723	0.112	0.129	35.43	71.689
0.102	0.606	-0.219	-0.143	105.34	71.594
-0.235	1.326	-0.102	-0.069	-72.14	71.836
0.05	-0.415	0.354	0.155	43.87	71.678
-0.05	0.216	0.062	-0.11	107.34	71.592
0.183	-1.277	-0.191	-0.152	-52.35	71.809
-0.118	0.503	-0.389	-0.708	49.83	71.67
0.113	-0.914	-0.512	-0.644	124.67	71.568
-0.068	0.094	-0.107	0.181	-4.43	71.744
0.072	0.428	0.249	0.125	158.51	71.522
-0.093	-0.396	0.261	0.062	134.01	71.556
0.042	0.204	0.358	0.448	107.38	71.591
-0.234	1.262	-0.393	-0.568	-57.58	71.816
-0.023	-0.493	0.241	0.225	85.46	71.621
0.145	-0.006	0.167	0.47	173.12	71.502
-0.053	0.205	-0.415	-0.736	-69.92	71.832
0.191	-1.245	-0.366	-0.28	7.83	71.728
0.082	-0.188	0.141	0.242	101.65	71.599
-0.13	0.461	0.051	-0.015	182.73	71.489
-0.091	0.745	0.088	0.027	61.74	71.654
0.016	-0.283	-0.23	-0.511	3.64	71.732
0.045	0.588	0.589	0.841	53.75	71.664
0.009	0.554	-0.206	0.036	192.91	71.477
-0.162	0.806	0.44	0.669	116.43	71.579
0.011	0.463	-0.243	-0.015	23.87	71.705
0.01	-0.102	0.224	0.45	41.34	71.681
-0.023	0.944	-0.372	-0.417	-8.42	71.749
0.132	0.456	-0.065	0.024	126.62	71.565
0.11	-0.202	-0.126	0.152	140.6	71.547
-0.062	0.956	-0.584	-0.757	17.41	71.714
-0.034	0.519	-0.212	-0.688	249.4	71.399
0.151	0.491	0.093	0.031	125.24	71.567
-0.104	0.62	-0.261	-0.585	-6.84	71.747
-0.091	-0.717	0.381	0.496	66.1	71.648
-0.077	0.339	0.33	0.567	62.93	71.652
-0.13	1.009	0.24	0.092	35.58	71.69
0.026	0.407	0.1	0.378	4.31	71.732
0.089	0.204	-0.441	-0.502	171.71	71.504
0.065	0.583	0.265	0.143	222.24	71.436
-0.065	0.013	-0.508	-0.803	-13.22	71.755
0.088	0.483	-0.134	-0.195	82.42	71.625
-0.092	0.615	-0.581	-0.911	78.35	71.631
0.02	0.562	0.272	0.503	25.77	71.702
-0.059	0.522	-0.291	-0.836	239.88	71.412
-0.148	0.561	0.049	0.325	255.06	71.391
0.042	0.367	-0.368	-0.437	112.55	71.584
-0.03	0.671	0.283	0.285	81.58	71.627
0.283	-1.24	-0.177	-0.338	-35.75	71.787
0.122	-1.125	-0.368	-0.572	-33.77	71.784
-0.094	0.648	-0.162	-0.271	76.32	71.634
0.006	-0.692	0.034	-0.253	196.5	71.471
0.081	-0.498	-0.333	-0.555	65.97	71.648
-0.369	1.441	-0.176	-0.097	-72.04	71.837
0.04	-0.715	-0.635	-0.89	145.77	71.539
-0.125	-0.67	-0.205	-0.401	96.78	71.606
0.13	-0.635	-0.267	-0.583	73.11	71.638
-0.123	0.72	0.251	0.326	120.55	71.574
-0.017	-0.048	0.256	0.28	116.41	71.579
-0.128	0.733	-0.118	-0.386	76.51	71.634
0.087	-0.375	0.45	0.768	32.14	71.694
0.114	-0.259	0.222	0.465	114.05	71.582
0.288	-1.362	-0.432	-0.55	-83.15	71.851
-0.111	0.239	0.056	-0.238	125.83	71.567
-0.151	0.378	-0.401	-0.534	189.24	71.48
-0.064	0.626	0.359	0.454	104.93	71.595
-0.246	1.052	-0.077	-0.119	23.09	71.706
0.132	-0.901	-0.183	-0.358	28.12	71.7
0.008	-0.618	0.027	-0.17	33.32	71.692
0.006	0.476	-0.142	-0.144	71.6	71.64
-0.024	0.206	0.537	0.762	97.01	71.605
0.016	0.546	0.062	0.242	43.83	71.678
-0.02	0.936	-0.472	-0.459	89.16	71.617
0.007	0.782	-0.304	-0.333	43.27	71.679
0.122	-0.279	0.227	0.538	100.6	71.601
0.365	-1.394	0.222	0.355	-80.07	71.847
0.07	0.408	0.434	1.147	245.78	71.404
-0.19	0.185	0.088	0.301	241.28	71.409
-0.118	-0.305	0.229	0.078	218.38	71.441
-0.074	0.723	-0.12	0.072	122.9	71.571
-0.098	0.901	0.131	0.001	43.14	71.679
-0.167	-0.206	-0.174	-0.38	184.1	71.487
-0.133	-0.268	0.21	0.049	218.29	71.441
0.144	-0.468	0.419	0.788	131.15	71.559
-0.156	0.361	0.242	0.494	216.43	71.443
0.14	-0.479	0.375	0.761	175.37	71.499
-0.093	-0.033	0.146	0.261	111.19	71.586
0.164	-0.358	0.17	0.442	233.79	71.419
-0.077	-0.031	0.036	-0.14	127.3	71.564
-0.06	0.279	-0.232	-0.197	164.15	71.514
-0.2	1.213	-0.374	-0.467	-37.7	71.789
-0.148	0.27	-0.035	0.153	231.02	71.423
-0.162	-0.381	0.122	0.054	159.86	71.52
0.012	-0.258	0.15	0.569	241.22	71.41
-0.208	1.188	0.019	0.141	-25.96	71.773
-0.09	0.72	0.115	-0.094	94.12	71.61
-0.073	0.6	0.64	0.932	115.35	71.581
-0.194	-0.154	0.251	0.386	212.35	71.449
-0.044	-0.579	0.144	-0.032	72.5	71.639
-0.026	-0.023	-0.012	-0.226	72.82	71.639
0.041	-0.022	0.237	-0.008	191.62	71.478
0.109	-0.987	-0.662	-0.937	46.66	71.674
-0.082	0.892	-0.069	0.093	24.68	71.704
-0.011	-0.164	0.174	0.136	116.97	71.578
0.124	-0.386	-0.154	-0.288	164.56	71.513
-0.177	0.787	0.148	0.212	238.55	71.413
-0.048	0.04	0.071	-0.03	116.88	71.578
0.047	-0.862	-0.133	-0.123	21.24	71.709
0.057	-0.896	-0.501	-0.657	36.71	71.688
0.11	-0.835	0.511	0.865	52.01	71.667
0.181	-0.483	-0.281	-0.74	257.7	71.387
0.129	-0.519	0.235	0.701	253.25	71.393
0.025	-0.558	-0.169	-0.589	245.88	71.403
0.064	0.229	-0.127	0.091	117.96	71.578
-0.057	0.41	-0.095	0.051	162.48	71.517
-0.117	-0.461	-0.308	-0.488	98.87	71.603
-0.092	-0.585	0.07	-0.133	103.6	71.597
-0.097	-0.191	-0.247	-0.129	232.8	71.421
0.373	-1.458	0.222	0.223	-97.86	71.871
0.156	-0.424	0.335	0.505	204.42	71.459
-0.1	-0.3	-0.497	-0.704	100.44	71.601
0.102	-0.94	0.202	0.392	6.91	71.728
-0.156	1.033	-0.223	-0.142	55.93	71.662
0.1	-1.022	-0.42	-0.646	-8.58	71.75
0.03	-0.977	0.317	0.407	-3.66	71.743
0.044	0.824	-0.026	0.295	229.24	71.427
0.082	0.244	-0.101	0.113	160.26	71.52
0.078	0.098	0.206	0.326	103.82	71.596
-0.003	-0.609	0.102	0.288	40.52	71.683
-0.001	-0.356	0.05	0.224	70.07	71.642
0.005	0.373	-0.199	-0.174	110.27	71.587
-0.032	-0.01	0.58	0.854	41.85	71.68
0.112	-1.157	-0.011	-0.172	-20.05	71.766
-0.06	-0.131	-0.116	-0.394	38.07	71.686
0.099	-0.499	-0.165	-0.24	133.23	71.556
-0.133	0.502	-0.027	-0.264	243.12	71.407
-0.095	0.992	0.34	0.334	46.51	71.675
-0.109	0.339	0.125	-0.176	10.27	71.724
-0.017	-0.764	0.356	0.396	59.09	71.657
-0.065	0.41	0.337	0.963	246.93	71.402
-0.007	0.783	0.44	0.487	161.43	71.518
0.09	-0.391	0.31	0.373	164.4	71.514
0.187	-1.143	0.026	-0.073	-11.01	71.753
0.081	0.592	0.027	-0.123	88.61	71.617
0.063	0.184	0.317	0.508	83.25	71.624
-0.165	0.082	-0.362	-0.701	171.26	71.505
-0.034	0.297	0.356	0.624	43.84	71.678
0.106	-0.733	0.075	0.091	96.0	71.607
0.146	-1.166	-0.221	-0.11	5.46	71.731
0.102	0.164	-0.051	-0.023	125.21	71.567
0.105	0.36	-0.049	0.249	237.59	71.415
-0.056	0.214	0.18	0.292	101.46	71.599
-0.053	0.666	-0.278	-0.336	89.7	71.616
0.135	-1.091	0.129	-0.007	11.37	71.723
0.388	-1.422	0.42	0.53	-83.61	71.852
-0.408	1.426	0.12	0.038	-73.78	71.839
0.076	-0.67	0.167	0.128	118.24	71.577
0.034	-0.039	-0.129	0.177	-26.07	71.773
-0.084	-0.493	0.201	0.017	139.58	71.548
-0.069	-0.015	-0.336	-0.27	217.43	71.442
0.005	0.027	-0.031	0.254	242.89	71.407
0.001	0.188	-0.237	-0.017	77.2	71.633
-0.007	0.251	-0.152	-0.446	6.47	71.729
-0.108	-0.287	-0.338	-0.619	65.42	71.648
-0.041	0.171	-0.09	-0.415	-34.27	71.784
-0.023	-0.719	-0.15	0.069	36.97	71.688
-0.057	-0.565	-0.161	-0.394	48.2	71.672
-0.054	-0.199	0.049	-0.167	105.1	71.595
-0.012	-0.367	-0.265	-0.411	77.24	71.632
-0.027	0.657	-0.371	-0.997	244.62	71.405
-0.018	0.098	-0.218	0.008	85.66	71.622
0.022	0.452	0.126	-0.076	80.19	71.629
0.067	-1.147	0.124	0.05	-13.65	71.757
-0.08	0.629	0.351	0.599	62.21	71.653
0.017	-0.232	0.106	0.465	224.76	71.432
-0.122	0.92	0.216	0.011	95.18	71.609
0.095	-0.8	0.577	0.846	134.38	71.555
-0.158	0.108	-0.003	-0.053	201.81	71.463
0.165	0.042	0.004	-0.178	214.29	71.446
0.136	-0.131	-0.204	-0.598	196.74	71.47
-0.02	-0.342	-0.164	-0.289	79.48	71.629
-0.016	-0.134	0.292	0.386	109.66	71.588
0.047	-0.227	0.027	0.342	181.38	71.491
0.139	-0.842	-0.062	-0.374	12.58	71.721
0.1	0.24	0.062	-0.186	167.05	71.511
-0.074	0.585	-0.011	0.199	170.58	71.506
-0.093	1.111	-0.452	-0.508	-8.95	71.75
0.059	0.176	-0.508	-0.648	151.85	71.531
0.205	-1.21	-0.032	0.085	-18.33	71.763
0.024	-1.006	-0.403	-0.327	58.07	71.659
0.04	-0.134	0.003	0.264	184.59	71.487
-0.096	-0.021	-0.536	-0.752	113.56	71.583
0.025	0.193	-0.007	-0.29	189.33	71.48
0.002	0.148	-0.087	0.129	233.25	71.42
-0.066	1.136	-0.064	-0.201	-11.94	71.754
-0.143	-0.322	-0.201	-0.28	148.9	71.535
0.019	0.115	0.515	0.619	165.28	71.513
-0.116	0.612	-0.049	-0.244	200.95	71.464
-0.109	-0.578	-0.016	0.219	122.5	71.571
-0.147	0.248	-0.455	-0.791	109.15	71.589
0.135	-1.033	0.256	0.524	4.85	71.732
0.021	0.596	0.372	0.521	70.55	71.642
-0.124	1.131	-0.096	-0.136	-27.52	71.775
0.079	-0.22	0.314	0.631	31.5	71.695
0.111	-0.246	0.139	0.484	9.04	71.725
-0.122	0.104	0.278	0.616	76.99	71.633
-0.409	1.464	0.174	0.268	-101.81	71.877
-0.129	-0.294	-0.031	0.275	215.0	71.446
0.126	-0.681	-0.307	-0.681	78.75	71.631
0.127	-0.486	0.075	0.087	199.71	71.466
-0.118	0.963	-0.073	-0.118	24.93	71.704
0.199	-0.215	0.204	0.276	252.16	71.394
-0.053	0.27	0.266	-0.015	-8.21	71.749
0.095	0.124	0.202	0.701	262.98	71.38
0.122	-0.664	-0.42	-0.716	132.17	71.558
0.103	-0.234	0.196	0.528	40.55	71.682
0.068	-0.574	-0.429	-0.248	71.74	71.641
0.019	0.381	-0.377	-0.396	201.89	71.463
0.088	-0.782	-0.433	-0.78	31.24	71.695
0.023	0.026	0.047	-0.193	127.68	71.564
0.024	-0.938	0.214	0.267	11.26	71.722
-0.012	-0.042	-0.2	-0.205	126.7	71.565
0.175	-1.065	0.029	0.111	19.46	71.711
0.131	0.078	0.205	0.5	145.44	71.54
-0.104	0.255	-0.27	-0.489	129.14	71.562
0.017	0.275	-0.399	-0.714	-35.59	71.786
-0.095	-0.574	-0.262	-0.188	131.14	71.559
